User_ID,User_Full_Name,User_Email,User_Phone,User_Password_Hash,User_Role,User_Status,User_Created_At,User_Nationality,User_BirthDate,Property_ID,Property_Title,Property_Description,Property_Type,Room_Type,Property_City,Property_District,Property_Address,Property_Base_Price,Property_Max_Guests,Property_Rating_Avg,Property_Created_At,Host_ID,Host_Since,Photo_URL,Photo_Is_Primary,Photo_Sort_Order,Amenity_Name,Amenity_Icon,Booking_ID,Booking_CheckIn,Booking_CheckOut,Booking_Guest_Count,Booking_Total_Price,Booking_Status,Booking_Created_At,Payment_ID,Payment_Amount,Payment_Method,Payment_Status,Transaction_Ref,Payment_Date,Review_ID,Review_Rating,Review_Comment,Review_Created_At,Card_Holder,Card_Number_Masked,Card_Expiry
2,Murat Ekinci,user2@hms.com,05000000002,hash_1,admin,inactive,2024-01-01,T.C.,1990-01-01,2,Trabzon Ortahisar Müstakil Ev,Açıklama...,Müstakil Ev,Entire place,Trabzon,Ortahisar,Adres No:2,3520,7,2,2024-05-01,3,2024-01-01,image_2.png,TRUE,0,TV,fa-tv,,,,1,10560,,,,0,Credit Card,completed,T-1,,,2,Güzeldi.,,,**** 2781,12/2026
3,Ece Kaya,user3@hms.com,05000000003,hash_2,admin,suspended,2024-01-01,T.C.,1990-01-01,3,İstanbul Fatih Müstakil Ev,Açıklama...,Stüdyo,Entire place,İstanbul,Fatih,Adres No:3,1028,7,3,2024-05-01,4,2024-01-01,image_3.png,TRUE,0,Mutfak,fa-utensils,,,,3,3084,,,,0,Credit Card,completed,T-2,,2,2,Güzeldi.,,,**** 2787,12/2026
4,Elif Bulut,user4@hms.com,05000000004,hash_3,admin,suspended,2024-01-01,T.C.,1990-01-01,4,Muğla Bodrum Müstakil Ev,Açıklama...,Müstakil Ev,Entire place,Muğla,Bodrum,Adres No:4,2838,4,4,2024-05-01,5,2024-01-01,image_4.png,TRUE,0,Mutfak,fa-utensils,1003,2026-04-24,,5,8514,completed,,3,8514,Credit Card,completed,T-3,,,3,Güzeldi.,,,**** 3129,12/2026
5,Ayşe Koç,user5@hms.com,05000000005,hash_4,guest,active,2024-01-01,T.C.,1990-01-01,5,Ankara Çankaya Müstakil Ev,Açıklama...,Müstakil Ev,Entire place,Ankara,Çankaya,Adres No:5,2607,3,5,2024-05-01,6,2024-01-01,image_5.png,TRUE,0,TV,fa-tv,,,,2,7821,,,,0,Credit Card,completed,T-4,,4,4,Güzeldi.,,Ayşe Koç,**** 3735,12/2026
6,Selin Tekin,user6@hms.com,05000000006,hash_5,guest,active,2024-01-01,T.C.,1990-01-01,6,İzmir Alsancak Apartman,Açıklama...,Villa,Entire place,İzmir,Alsancak,Adres No:6,4632,6,1,2024-05-01,7,2024-01-01,image_6.png,TRUE,0,Mutfak,fa-utensils,,,,4,13896,,,,0,Credit Card,completed,T-5,,,5,Güzeldi.,,Selin Tekin,**** 6138,12/2026
7,Ece Yılmaz,user7@hms.com,05000000007,hash_6,admin,inactive,2024-01-01,T.C.,1990-01-01,7,İzmir Karşıyaka Apartman,Açıklama...,Loft,Entire place,İzmir,Karşıyaka,Adres No:7,4639,6,2,2024-05-01,8,2024-01-01,image_7.png,TRUE,0,Klima,fa-snowflake,1006,2026-03-07,,3,13917,completed,,6,13917,Credit Card,completed,T-6,,6,1,Güzeldi.,,,**** 2584,12/2026
8,Deniz Ekinci,user8@hms.com,05000000008,hash_7,admin,active,2024-01-01,T.C.,1990-01-01,8,Muğla Fethiye Müstakil Ev,Açıklama...,Apartman,Entire place,Muğla,Fethiye,Adres No:8,4575,3,3,2024-05-01,9,2024-01-01,image_8.png,TRUE,0,Havuz,fa-swimming-pool,,,,2,13725,,,,0,Credit Card,completed,T-7,,,1,Güzeldi.,,,**** 5132,12/2026
9,Ahmet Korkmaz,user9@hms.com,05000000009,hash_8,guest,inactive,2024-01-01,T.C.,1990-01-01,9,İstanbul Fatih Loft,Açıklama...,Apartman,Entire place,İstanbul,Fatih,Adres No:9,2959,8,4,2024-05-01,10,2024-01-01,image_9.png,TRUE,0,Otopark,fa-car,,,,3,8877,,,,0,Credit Card,completed,T-8,,8,3,Güzeldi.,,Ahmet Korkmaz,**** 8841,12/2026
10,Fatma Şahin,user10@hms.com,05000000010,hash_9,admin,active,2024-01-01,T.C.,1990-01-01,10,Trabzon Ortahisar Loft,Açıklama...,Apartman,Entire place,Trabzon,Ortahisar,Adres No:10,1265,9,5,2024-05-01,1,2024-01-01,image_10.png,TRUE,0,Mutfak,fa-utensils,1009,2026-02-05,,3,3795,completed,,9,3795,Credit Card,completed,T-9,,,2,Güzeldi.,,,**** 3714,12/2026
11,Sibel Bulut,user11@hms.com,05000000011,hash_10,guest,active,2024-01-01,T.C.,1990-01-01,11,Eskişehir Odunpazarı Apartman,Açıklama...,Müstakil Ev,Entire place,Eskişehir,Odunpazarı,Adres No:11,438,5,1,2024-05-01,2,2024-01-01,image_11.png,TRUE,0,Havuz,fa-swimming-pool,,,,2,1314,,,,0,Credit Card,completed,T-10,,10,3,Güzeldi.,,Sibel Bulut,**** 5400,12/2026
